State,Avg Daily Distance (km),Brand,Model,Price (INR),Year of Manufacture,Engine Capacity (cc),Fuel Type,Mileage (km/l),Owner Type,Registration Year,Insurance Status,Seller Type,Resale Price (INR),City Tier
Karnataka,41.53,Royal Enfield,Classic 350,167545,2016,669,Hybrid,60.62,Third,2018,Active,Individual,70276.46,Metro
Maharashtra,10.12,KTM,RC 390,65033,2018,312,Hybrid,95.58,Third,2020,Expired,Dealer,35712.22,Tier 1
Madhya Pradesh,35.78,TVS,Apache RTR 160,119800,2015,426,Petrol,36.96,Third,2016,Expired,Dealer,54159.47,Tier 3
Tamil Nadu,33.63,Kawasaki,Ninja 400,115631,2018,448,Petrol,34.41,Third,2021,Active,Individual,77314.52,Tier 3
Punjab,62.76,Hero,Passion Pro,138788,2023,526,Petrol,46.5,Third,2023,Active,Dealer,102702.95,Tier 1
Maharashtra,36.27,Yamaha,FZ V3,380797,2023,736,Hybrid,87.51,Third,2023,Active,Individual,155400.65,Tier 1
Punjab,5.29,KTM,250 Duke,257702,2017,712,Hybrid,91.19,Second,2024,Expired,Individual,141534.57,Tier 3
Gujarat,69.26,TVS,Ronin,264320,2018,230,Electric,77.81,First,2018,Expired,Dealer,176007.25,Tier 2
Gujarat,31.45,Honda,CBR 650R,220463,2017,859,Petrol,32.8,First,2017,Active,Dealer,123346.11,Tier 3
Karnataka,52.42,KTM,125 Duke,391463,2019,813,Electric,96.66,First,2019,Active,Dealer,255926.21,Tier 1
Uttar Pradesh,67.72,TVS,Ronin,190467,2021,623,Electric,99.52,First,2021,Expired,Dealer,92938.91,Tier 3
Maharashtra,20.74,Kawasaki,Versys 650,141325,2022,246,Petrol,56.05,First,2022,Active,Dealer,94023.85,Metro
West Bengal,9.46,Hero,HF Deluxe,91604,2020,110,Petrol,42.22,Third,2021,Not Available,Individual,53145.66,Metro
Punjab,62.79,Hero,HF Deluxe,288176,2015,298,Hybrid,73.33,Second,2018,Expired,Dealer,195166.25,Metro
Rajasthan,17.96,KTM,390 Adventure,334437,2016,382,Hybrid,96.49,Second,2017,Not Available,Dealer,185815.17,Tier 1
West Bengal,71.39,Honda,Dio,197702,2016,574,Petrol,59.77,Second,2019,Active,Dealer,131107.72,Tier 2
Delhi,41.72,Bajaj,Avenger 220,362227,2017,268,Electric,64.02,First,2017,Active,Individual,205798.48,Metro
Madhya Pradesh,66.07,Hero,Passion Pro,346804,2016,334,Hybrid,85.73,Third,2022,Active,Dealer,164402.01,Tier 2
Delhi,6.41,KTM,RC 390,204854,2022,268,Electric,66.95,First,2022,Active,Dealer,93300.33,Tier 3
Rajasthan,53.4,TVS,Ronin,332325,2019,961,Petrol,45.68,First,2019,Not Available,Individual,255486.75,Metro
Uttar Pradesh,78.64,Bajaj,Platina 110,53979,2018,438,Electric,68.81,First,2018,Active,Dealer,32243.81,Tier 3
Karnataka,27.36,Kawasaki,Versys 650,339023,2021,229,Petrol,27.58,Third,2024,Active,Dealer,235591.26,Metro
Karnataka,70.34,Bajaj,Platina 110,162868,2024,676,Electric,79.25,Third,2024,Expired,Dealer,89041.02,Tier 3
Gujarat,23.86,Kawasaki,Ninja 300,380120,2015,442,Petrol,58.37,Second,2023,Not Available,Individual,301390.02,Metro
Delhi,55.88,Bajaj,Avenger 220,234157,2024,793,Petrol,34.71,Second,2024,Not Available,Individual,103734.43,Metro
West Bengal,22.09,KTM,Duke 200,217537,2021,186,Hybrid,70.84,Second,2022,Active,Dealer,152530.24,Tier 2
Gujarat,68.17,Hero,Passion Pro,264280,2022,383,Electric,83.44,Third,2022,Active,Individual,127755.56,Metro
Tamil Nadu,65.57,KTM,125 Duke,218973,2017,633,Petrol,33.33,Second,2019,Not Available,Dealer,161724.51,Tier 2
West Bengal,47.16,Honda,Unicorn,109327,2015,208,Hybrid,90.92,Second,2022,Active,Individual,70156.24,Tier 2
Rajasthan,54.29,Honda,Shine,160125,2017,266,Electric,80.59,Second,2024,Not Available,Dealer,98857.75,Tier 2
Gujarat,22.24,Royal Enfield,Himalayan,276463,2020,600,Petrol,58.66,Second,2021,Not Available,Individual,169450.68,Tier 3
Madhya Pradesh,36.43,Honda,Shine,389965,2018,474,Hybrid,67.08,First,2018,Expired,Individual,293053.57,Tier 2
Maharashtra,9.9,KTM,250 Duke,74639,2024,366,Electric,87.22,First,2024,Not Available,Dealer,43266.24,Tier 2
Maharashtra,70.45,Yamaha,Ray ZR,150687,2016,661,Hybrid,68.89,Second,2023,Active,Individual,103311.37,Tier 1
West Bengal,9.84,Yamaha,Fascino 125,243012,2017,663,Petrol,36.85,First,2017,Active,Individual,181016.47,Tier 2
Tamil Nadu,31.91,Yamaha,Ray ZR,57972,2016,105,Petrol,36.0,Second,2016,Not Available,Individual,39091.78,Metro
Delhi,33.88,Yamaha,FZ V3,260849,2020,191,Hybrid,84.91,Second,2020,Expired,Individual,179395.83,Tier 1
Rajasthan,47.05,TVS,Jupiter,384150,2019,878,Petrol,49.21,Second,2020,Expired,Dealer,260896.39,Tier 3
Madhya Pradesh,44.06,Yamaha,Ray ZR,206942,2017,966,Hybrid,65.47,Second,2020,Not Available,Dealer,130873.3,Tier 2
Tamil Nadu,59.67,TVS,Sport,164504,2020,623,Hybrid,85.66,Third,2024,Not Available,Individual,74148.84,Tier 3
Maharashtra,8.26,Kawasaki,Z650,178176,2016,886,Electric,65.17,Third,2021,Expired,Individual,85446.81,Metro
Madhya Pradesh,75.6,Bajaj,Dominar 400,105988,2021,820,Hybrid,92.3,Second,2023,Active,Dealer,69159.48,Tier 3
Gujarat,5.13,KTM,Duke 200,246128,2021,714,Electric,77.02,Third,2024,Not Available,Individual,157736.21,Tier 3
Delhi,57.44,Kawasaki,Ninja 300,167783,2024,224,Electric,95.43,Second,2024,Active,Dealer,97869.43,Tier 3
Gujarat,45.87,Honda,Unicorn,269883,2017,331,Electric,80.41,Third,2019,Active,Individual,185223.99,Metro
Punjab,24.21,TVS,NTorq 125,176754,2019,612,Electric,72.58,Third,2022,Not Available,Dealer,99442.14,Tier 1
Rajasthan,72.39,Hero,Passion Pro,393916,2016,747,Petrol,31.92,First,2016,Expired,Dealer,307700.16,Tier 3
Maharashtra,5.52,Bajaj,Pulsar 150,329117,2021,353,Hybrid,94.58,Second,2024,Expired,Individual,160238.0,Tier 1
Rajasthan,77.57,Kawasaki,Ninja 400,160407,2022,790,Petrol,41.57,Second,2023,Expired,Dealer,73231.67,Metro
Tamil Nadu,32.08,Hero,Passion Pro,191135,2019,893,Hybrid,69.85,Second,2023,Expired,Individual,130036.44,Metro
Maharashtra,79.01,KTM,250 Duke,171273,2016,480,Petrol,53.3,Third,2018,Expired,Dealer,88980.29,Tier 1
Delhi,7.9,Hero,Xtreme 160R,118098,2022,440,Petrol,33.47,Second,2023,Expired,Dealer,55226.71,Tier 2
Rajasthan,25.79,TVS,Jupiter,143429,2019,638,Hybrid,76.15,Third,2021,Not Available,Dealer,77995.46,Metro
Rajasthan,7.45,Yamaha,Fascino 125,392594,2017,659,Electric,82.19,Third,2023,Active,Individual,163506.51,Tier 2
Uttar Pradesh,43.88,Honda,CBR 650R,183413,2020,285,Electric,70.59,First,2020,Not Available,Individual,115818.12,Metro
Tamil Nadu,35.85,Hero,Glamour,137288,2022,704,Electric,81.08,First,2022,Expired,Individual,98495.08,Metro
Karnataka,38.64,Hero,HF Deluxe,379205,2018,236,Electric,94.8,Third,2023,Not Available,Dealer,195613.31,Tier 3
Tamil Nadu,19.67,Kawasaki,Versys 650,329502,2020,245,Electric,83.1,First,2020,Active,Individual,249871.17,Tier 2
Uttar Pradesh,37.31,KTM,125 Duke,167367,2017,109,Hybrid,86.65,Second,2018,Active,Individual,80625.33,Tier 2
Delhi,56.75,KTM,125 Duke,296918,2022,203,Electric,72.35,First,2022,Active,Individual,150412.35,Metro
Delhi,31.49,Hero,Glamour,349664,2019,547,Hybrid,66.38,Second,2022,Expired,Individual,174859.82,Metro
West Bengal,41.76,TVS,Apache RTR 160,86812,2016,228,Hybrid,64.34,First,2016,Expired,Dealer,36905.31,Tier 1
Madhya Pradesh,23.37,Royal Enfield,Meteor 350,397677,2023,831,Petrol,57.58,First,2023,Not Available,Dealer,316048.39,Tier 3
Madhya Pradesh,70.53,KTM,390 Adventure,163309,2016,644,Hybrid,74.97,Second,2016,Not Available,Dealer,111462.22,Tier 2
Delhi,58.63,KTM,RC 390,174103,2024,369,Petrol,46.84,First,2024,Not Available,Individual,80636.51,Tier 1
Maharashtra,36.86,Honda,Dio,204943,2017,135,Hybrid,91.8,Second,2021,Not Available,Dealer,150354.2,Metro
West Bengal,25.41,Honda,Dio,92620,2023,587,Electric,95.6,Third,2024,Not Available,Individual,47775.09,Metro
Maharashtra,45.05,KTM,RC 390,279438,2022,565,Petrol,28.82,Third,2022,Active,Individual,222848.33,Tier 2
Uttar Pradesh,20.69,Yamaha,Fascino 125,319672,2020,927,Petrol,40.66,First,2020,Active,Individual,184445.3,Tier 2
Delhi,43.0,Bajaj,Platina 110,336575,2018,625,Petrol,38.34,Third,2018,Active,Individual,177468.86,Tier 2
Maharashtra,66.18,Royal Enfield,Himalayan,239968,2020,456,Petrol,53.78,Second,2024,Expired,Dealer,115726.41,Tier 1
Tamil Nadu,54.42,TVS,NTorq 125,336275,2023,162,Electric,85.64,First,2023,Expired,Dealer,159244.23,Tier 2
Delhi,69.67,Honda,Unicorn,84846,2024,315,Petrol,45.14,Third,2024,Not Available,Dealer,47731.79,Tier 2
Madhya Pradesh,55.2,Hero,Glamour,346503,2024,215,Petrol,58.34,First,2024,Not Available,Individual,164299.28,Tier 3
West Bengal,48.52,Hero,HF Deluxe,71166,2020,719,Petrol,34.78,First,2020,Not Available,Individual,29042.66,Tier 3
Maharashtra,50.19,Bajaj,Dominar 400,399253,2024,681,Hybrid,76.18,Third,2024,Active,Individual,282021.08,Tier 1
Karnataka,47.35,KTM,250 Duke,234364,2022,683,Petrol,43.2,First,2022,Active,Dealer,131703.71,Tier 1
Rajasthan,49.89,Hero,HF Deluxe,246828,2024,936,Petrol,45.0,First,2024,Active,Dealer,141729.27,Tier 1
Tamil Nadu,66.79,TVS,NTorq 125,95019,2024,780,Hybrid,67.75,Third,2024,Active,Individual,67919.36,Tier 1
Rajasthan,25.1,Royal Enfield,Classic 350,95245,2023,546,Hybrid,93.77,Third,2023,Active,Dealer,69232.59,Tier 1
West Bengal,11.73,Hero,Xtreme 160R,216337,2016,213,Petrol,36.38,Second,2024,Not Available,Dealer,159408.22,Tier 1
Delhi,68.34,KTM,250 Duke,230683,2021,130,Electric,68.0,Third,2023,Expired,Individual,122138.54,Tier 1
West Bengal,41.11,Yamaha,R15 V4,354697,2017,747,Electric,98.88,Second,2020,Expired,Individual,194572.43,Metro
Gujarat,43.58,Honda,CBR 650R,80146,2019,198,Hybrid,96.21,Third,2021,Expired,Dealer,37338.76,Tier 3
Rajasthan,70.34,Kawasaki,Ninja 300,189034,2018,466,Petrol,53.77,First,2018,Not Available,Dealer,85392.5,Tier 2
Karnataka,23.5,Yamaha,MT-15,357116,2022,215,Electric,79.33,Third,2023,Not Available,Individual,213456.66,Tier 3
Madhya Pradesh,36.73,Royal Enfield,Classic 350,369448,2016,881,Hybrid,80.23,Second,2017,Active,Dealer,262752.85,Metro
West Bengal,43.56,Kawasaki,Versys 650,336167,2015,116,Petrol,49.43,First,2015,Expired,Dealer,224561.93,Tier 3
Uttar Pradesh,72.64,Yamaha,MT-15,300548,2017,221,Petrol,27.66,Third,2017,Not Available,Individual,146370.79,Metro
Madhya Pradesh,7.81,Bajaj,CT 100,102589,2016,746,Hybrid,78.41,First,2016,Not Available,Individual,82042.44,Tier 3
Karnataka,59.7,Royal Enfield,Hunter 350,205007,2021,965,Hybrid,95.34,First,2021,Active,Individual,145153.8,Tier 3
Uttar Pradesh,21.04,Bajaj,Dominar 400,117087,2015,155,Electric,61.8,First,2015,Expired,Dealer,70220.54,Tier 2
Gujarat,65.7,TVS,Ronin,399669,2015,593,Petrol,53.75,Third,2018,Active,Individual,192320.4,Metro
Gujarat,36.35,KTM,Duke 200,275082,2015,995,Petrol,42.88,First,2015,Active,Dealer,203995.32,Tier 1
Tamil Nadu,76.77,Honda,Unicorn,65427,2020,664,Hybrid,70.57,First,2020,Expired,Dealer,50971.12,Tier 2
Tamil Nadu,52.34,Bajaj,Avenger 220,77645,2023,295,Petrol,31.59,Third,2024,Active,Individual,33017.24,Metro
Tamil Nadu,47.67,Bajaj,Pulsar 150,191536,2019,459,Hybrid,84.08,First,2019,Not Available,Dealer,103041.24,Tier 2
Delhi,78.4,Hero,Xtreme 160R,249673,2016,779,Electric,76.68,First,2016,Expired,Dealer,164340.51,Tier 1
Madhya Pradesh,73.51,Honda,Dio,88122,2015,420,Hybrid,81.24,Second,2023,Expired,Dealer,60153.85,Metro
Gujarat,6.4,Honda,Activa,238664,2024,457,Hybrid,71.61,Second,2024,Not Available,Dealer,146748.13,Tier 1
Karnataka,20.37,Kawasaki,Z650,338368,2017,470,Petrol,33.31,First,2017,Expired,Dealer,193723.35,Tier 2
Delhi,8.07,Yamaha,R15 V4,301820,2018,723,Hybrid,96.07,First,2018,Active,Dealer,163439.09,Tier 2
Delhi,50.23,Honda,Dio,227003,2016,840,Hybrid,96.14,Second,2022,Expired,Individual,143341.7,Metro
Gujarat,10.04,Yamaha,MT-15,69231,2018,826,Petrol,35.16,First,2018,Active,Dealer,51009.43,Tier 1
Tamil Nadu,31.68,Yamaha,Ray ZR,260913,2015,401,Petrol,53.91,Second,2022,Not Available,Dealer,119481.2,Tier 3
Uttar Pradesh,50.33,KTM,250 Duke,268130,2018,743,Electric,79.0,First,2018,Not Available,Dealer,109896.94,Tier 2
Karnataka,69.46,Royal Enfield,Classic 350,394753,2020,543,Petrol,48.89,Second,2024,Active,Individual,183667.0,Metro
Madhya Pradesh,44.9,Yamaha,MT-15,57844,2019,218,Electric,61.1,Second,2022,Not Available,Dealer,27256.09,Tier 3
Gujarat,33.29,Hero,Xtreme 160R,372342,2016,728,Electric,71.96,First,2016,Active,Individual,169218.5,Tier 3
Delhi,75.2,Honda,Dio,370227,2022,995,Hybrid,67.05,Third,2024,Active,Dealer,149237.8,Tier 3
Gujarat,55.06,Bajaj,Pulsar 150,61270,2017,110,Electric,70.1,Third,2023,Not Available,Individual,41903.87,Tier 3
Delhi,38.56,Royal Enfield,Himalayan,50299,2020,982,Electric,83.33,First,2020,Active,Individual,35572.68,Tier 3
West Bengal,24.09,KTM,250 Duke,143809,2020,826,Petrol,40.33,Second,2023,Not Available,Individual,85768.87,Tier 1
Punjab,12.45,Hero,Glamour,203903,2015,145,Petrol,54.83,Second,2024,Expired,Individual,93298.77,Tier 2
Gujarat,49.05,Kawasaki,Z650,161619,2022,395,Electric,71.6,First,2022,Active,Dealer,72164.9,Tier 1
Delhi,58.43,Honda,CBR 650R,321787,2022,408,Petrol,58.28,Second,2024,Active,Dealer,143010.78,Metro
Tamil Nadu,20.39,Honda,Activa,298069,2017,713,Electric,60.21,First,2017,Not Available,Individual,214477.58,Tier 1
Tamil Nadu,12.46,TVS,Apache RTR 160,179570,2017,759,Petrol,26.13,Second,2024,Expired,Dealer,85801.53,Tier 3
Karnataka,31.76,Bajaj,CT 100,240568,2024,976,Electric,93.4,Second,2024,Expired,Dealer,116702.78,Tier 3
Maharashtra,56.76,TVS,Apache RTR 160,95208,2017,920,Electric,60.84,First,2017,Expired,Dealer,59556.83,Tier 2
Uttar Pradesh,9.72,Hero,Splendor Plus,131752,2017,140,Hybrid,94.38,Second,2021,Active,Individual,60410.82,Metro
West Bengal,55.75,Kawasaki,Ninja 400,171311,2020,848,Petrol,42.35,First,2020,Active,Individual,87803.94,Tier 1
Rajasthan,30.63,Bajaj,CT 100,114101,2022,591,Hybrid,67.01,First,2022,Not Available,Individual,57381.99,Tier 3
Maharashtra,38.39,TVS,NTorq 125,218647,2023,924,Electric,75.82,Second,2024,Not Available,Individual,160918.36,Metro
Rajasthan,19.0,Royal Enfield,Meteor 350,344022,2016,982,Electric,74.86,Second,2022,Expired,Dealer,235619.73,Metro
Gujarat,69.75,KTM,250 Duke,122375,2024,558,Petrol,55.13,Third,2024,Active,Individual,59128.88,Tier 2
Punjab,47.37,TVS,Apache RTR 160,156572,2024,765,Petrol,46.63,Third,2024,Expired,Dealer,119449.63,Tier 3
Tamil Nadu,65.7,Bajaj,Platina 110,261950,2016,793,Petrol,36.1,Second,2023,Active,Individual,156054.4,Metro
Uttar Pradesh,29.51,Royal Enfield,Classic 350,396747,2020,706,Petrol,50.38,First,2020,Active,Dealer,174587.68,Tier 2
Delhi,60.9,Bajaj,Dominar 400,284915,2016,223,Electric,85.82,Third,2023,Expired,Individual,223868.57,Tier 2
Rajasthan,75.57,Bajaj,Dominar 400,127668,2021,497,Hybrid,67.0,Second,2021,Not Available,Dealer,96913.52,Tier 1
Uttar Pradesh,59.88,KTM,Duke 200,82535,2021,187,Electric,93.88,Second,2021,Expired,Individual,34055.04,Tier 3
Madhya Pradesh,41.57,Hero,Splendor Plus,91531,2020,805,Petrol,54.01,Third,2024,Not Available,Individual,54842.24,Tier 2
Madhya Pradesh,12.46,Honda,CBR 650R,58709,2018,854,Hybrid,96.14,Second,2018,Not Available,Individual,26638.69,Tier 3
Madhya Pradesh,74.54,TVS,Jupiter,209207,2017,932,Petrol,53.92,Second,2018,Not Available,Individual,97443.25,Metro
Maharashtra,21.46,TVS,Sport,232597,2019,951,Hybrid,82.04,First,2019,Expired,Individual,104223.81,Metro
Uttar Pradesh,13.92,Royal Enfield,Meteor 350,273055,2015,573,Petrol,48.33,Second,2018,Active,Individual,218167.54,Tier 3
Delhi,17.93,Hero,HF Deluxe,285965,2020,272,Petrol,53.61,First,2020,Expired,Individual,160288.93,Metro
Uttar Pradesh,51.33,Bajaj,Dominar 400,397663,2018,486,Petrol,47.58,First,2018,Active,Individual,317302.45,Tier 1
Tamil Nadu,49.47,Hero,Glamour,267915,2022,866,Electric,62.07,Third,2024,Active,Dealer,131384.83,Tier 1
West Bengal,26.94,Honda,Dio,101523,2024,573,Electric,73.67,Third,2024,Expired,Dealer,55579.95,Metro
Punjab,11.77,KTM,Duke 200,229309,2024,805,Petrol,35.4,Second,2024,Not Available,Individual,157112.95,Tier 2
West Bengal,55.16,Royal Enfield,Hunter 350,107249,2021,473,Hybrid,86.16,Second,2022,Not Available,Individual,57556.18,Tier 1
Delhi,48.18,TVS,Apache RTR 160,52942,2023,827,Petrol,44.12,Second,2023,Active,Individual,29506.21,Metro
Delhi,71.56,TVS,Sport,372827,2017,944,Petrol,50.92,First,2017,Expired,Dealer,264822.3,Tier 2
Karnataka,25.16,TVS,Sport,260334,2022,923,Hybrid,95.67,Third,2024,Not Available,Individual,123508.94,Metro
Punjab,56.34,Yamaha,FZ V3,386302,2023,841,Petrol,44.61,Third,2024,Active,Dealer,263613.91,Tier 3
Uttar Pradesh,51.32,Yamaha,MT-15,197490,2019,714,Hybrid,60.34,First,2019,Expired,Dealer,157984.22,Metro
Karnataka,29.74,Royal Enfield,Hunter 350,128372,2024,298,Petrol,51.76,Third,2024,Not Available,Individual,66655.23,Tier 2
Tamil Nadu,53.25,Kawasaki,Ninja 400,66661,2016,509,Electric,87.03,Second,2022,Active,Individual,38617.72,Metro
Gujarat,10.33,Royal Enfield,Hunter 350,321018,2024,923,Petrol,28.41,Second,2024,Expired,Dealer,216205.38,Metro
Uttar Pradesh,29.01,Honda,Activa,291164,2023,958,Electric,94.11,Second,2024,Not Available,Individual,146411.42,Tier 1
Uttar Pradesh,30.55,Honda,Unicorn,176589,2021,263,Hybrid,61.33,Third,2024,Active,Dealer,113382.26,Tier 2
Karnataka,61.96,Honda,Shine,153290,2015,218,Petrol,36.62,First,2015,Expired,Dealer,114763.29,Tier 1
Rajasthan,18.71,Royal Enfield,Himalayan,307447,2022,551,Hybrid,86.17,Second,2022,Not Available,Individual,182349.23,Metro
West Bengal,59.06,TVS,Jupiter,51025,2020,608,Petrol,43.35,Second,2021,Expired,Dealer,33757.13,Tier 1
Tamil Nadu,57.55,KTM,125 Duke,216984,2024,355,Petrol,49.89,Third,2024,Expired,Individual,114101.48,Tier 2
Punjab,55.81,Honda,CBR 650R,83318,2017,976,Electric,78.59,Third,2017,Not Available,Dealer,50310.13,Tier 3
West Bengal,31.99,Bajaj,Dominar 400,137200,2018,364,Electric,84.15,Third,2021,Not Available,Individual,104415.55,Tier 2
Delhi,35.84,TVS,Ronin,116707,2023,179,Hybrid,95.39,Second,2024,Active,Dealer,56766.74,Metro
Gujarat,69.45,Bajaj,Dominar 400,383730,2015,655,Electric,62.33,Second,2023,Expired,Dealer,303017.21,Tier 2
Delhi,70.34,Kawasaki,Versys 650,278157,2015,554,Electric,97.3,First,2015,Active,Dealer,153559.13,Tier 3
West Bengal,33.62,Hero,HF Deluxe,87335,2017,604,Hybrid,64.97,First,2017,Expired,Individual,35546.25,Metro
Uttar Pradesh,57.41,Bajaj,Dominar 400,368233,2023,687,Electric,98.1,Third,2024,Active,Dealer,242784.36,Tier 1
Rajasthan,72.02,KTM,390 Adventure,213426,2019,470,Electric,92.08,Third,2024,Active,Dealer,104015.89,Tier 2
Karnataka,57.85,Hero,Splendor Plus,319127,2020,814,Electric,89.58,Third,2021,Not Available,Dealer,250361.87,Tier 2
Maharashtra,43.13,Yamaha,FZ V3,55055,2020,156,Hybrid,81.87,First,2020,Not Available,Individual,35239.68,Tier 2
Punjab,42.81,Kawasaki,Vulcan S,369779,2021,378,Petrol,36.64,First,2021,Not Available,Dealer,282553.5,Metro
Maharashtra,54.46,Bajaj,Pulsar 150,125458,2017,911,Petrol,53.75,Third,2023,Not Available,Dealer,93722.09,Tier 3
Punjab,55.37,KTM,RC 390,316757,2019,894,Petrol,45.42,Second,2024,Not Available,Individual,236584.57,Tier 3
West Bengal,19.29,Hero,Passion Pro,95788,2017,243,Petrol,48.4,First,2017,Active,Dealer,54033.28,Metro
West Bengal,20.96,TVS,Jupiter,72626,2020,627,Petrol,31.9,Third,2023,Active,Dealer,57139.95,Tier 2
Gujarat,42.69,Yamaha,FZ V3,280187,2017,780,Petrol,27.26,Third,2022,Not Available,Individual,135536.36,Tier 2
Maharashtra,35.0,Yamaha,Ray ZR,254734,2023,909,Electric,97.94,First,2023,Active,Dealer,200389.6,Tier 2
Karnataka,72.58,Bajaj,CT 100,317834,2022,570,Electric,64.15,Second,2022,Expired,Individual,157283.36,Metro
Rajasthan,43.28,KTM,390 Adventure,256163,2023,235,Electric,66.17,First,2023,Active,Dealer,202146.64,Tier 3
Rajasthan,76.39,Yamaha,Ray ZR,348419,2018,788,Hybrid,79.44,Third,2024,Active,Individual,154251.1,Metro
Madhya Pradesh,57.96,Honda,CBR 650R,253143,2016,954,Petrol,36.96,Third,2024,Expired,Dealer,168614.56,Metro
Madhya Pradesh,21.83,Royal Enfield,Classic 350,62774,2017,246,Electric,85.53,Second,2022,Active,Dealer,26524.51,Tier 3
Gujarat,56.46,Royal Enfield,Classic 350,332044,2016,942,Electric,90.39,Second,2016,Expired,Individual,173221.42,Tier 2
Punjab,48.84,Hero,Glamour,388052,2024,881,Petrol,45.39,Third,2024,Expired,Dealer,293659.66,Metro
Rajasthan,29.99,Hero,Glamour,107191,2015,337,Electric,82.06,Second,2020,Expired,Individual,70184.66,Metro
Madhya Pradesh,52.33,TVS,Apache RTR 160,71147,2024,118,Hybrid,61.3,Third,2024,Expired,Dealer,52113.17,Tier 2
Tamil Nadu,49.86,Bajaj,Avenger 220,74703,2023,385,Petrol,39.92,First,2023,Not Available,Individual,53237.28,Metro
Delhi,50.7,Honda,Dio,91808,2022,853,Petrol,47.87,Third,2022,Active,Dealer,71752.53,Metro
Karnataka,42.43,Yamaha,MT-15,306467,2021,384,Electric,81.9,Third,2021,Expired,Individual,202926.83,Tier 3
Madhya Pradesh,21.2,Hero,Xtreme 160R,83880,2022,208,Hybrid,62.87,Third,2024,Not Available,Dealer,65242.12,Metro
Gujarat,66.72,Kawasaki,Vulcan S,72262,2023,713,Electric,95.68,First,2023,Active,Individual,32548.5,Metro
Rajasthan,37.96,Bajaj,Avenger 220,320924,2020,946,Electric,79.91,First,2020,Not Available,Individual,204232.25,Tier 1
West Bengal,76.55,Honda,Dio,340637,2023,767,Electric,70.55,First,2023,Expired,Individual,265348.76,Tier 1
Delhi,35.6,Yamaha,R15 V4,125864,2022,759,Hybrid,76.54,Second,2024,Not Available,Individual,57106.82,Tier 2
Punjab,15.71,Hero,Splendor Plus,201335,2019,358,Hybrid,69.85,Third,2024,Active,Individual,114782.2,Tier 2
Madhya Pradesh,68.89,Honda,Shine,166464,2020,420,Electric,78.72,First,2020,Active,Dealer,104649.38,Tier 1
Rajasthan,61.25,Hero,Xtreme 160R,58805,2022,878,Petrol,26.21,Second,2022,Not Available,Dealer,41163.67,Tier 3
Rajasthan,44.5,KTM,250 Duke,389265,2022,990,Hybrid,92.24,First,2022,Not Available,Dealer,224465.71,Metro
Karnataka,42.51,Kawasaki,Vulcan S,305164,2015,734,Hybrid,83.71,Second,2018,Active,Dealer,128402.0,Metro
Tamil Nadu,22.23,Kawasaki,Ninja 400,377585,2022,303,Electric,60.69,Second,2024,Active,Dealer,222498.98,Tier 3
West Bengal,78.76,Royal Enfield,Meteor 350,72732,2024,585,Hybrid,70.94,Second,2024,Active,Dealer,32615.64,Tier 3
Tamil Nadu,52.99,Hero,Splendor Plus,321612,2015,560,Petrol,36.29,First,2015,Not Available,Individual,198944.78,Tier 2
Tamil Nadu,69.03,KTM,390 Adventure,143564,2023,749,Electric,72.77,Second,2024,Active,Individual,92210.2,Tier 3
Gujarat,9.79,Hero,Glamour,253403,2016,202,Electric,69.84,Third,2016,Expired,Individual,162302.44,Tier 3
Gujarat,50.87,Bajaj,Pulsar 150,178376,2024,876,Hybrid,91.87,Second,2024,Active,Individual,113536.77,Metro
Uttar Pradesh,26.29,Honda,Dio,129775,2023,633,Petrol,41.78,Second,2024,Active,Dealer,101527.28,Metro
Rajasthan,45.59,KTM,390 Adventure,103362,2017,858,Petrol,50.53,Third,2024,Expired,Individual,70991.93,Metro
Maharashtra,57.39,Yamaha,Ray ZR,348995,2024,166,Hybrid,95.41,Third,2024,Expired,Individual,182835.76,Metro
West Bengal,8.97,KTM,250 Duke,243231,2022,927,Hybrid,97.49,Second,2022,Not Available,Dealer,184753.64,Metro
Gujarat,20.96,Kawasaki,Vulcan S,196620,2020,604,Electric,92.67,Second,2021,Active,Individual,121754.41,Tier 3
Maharashtra,37.28,Honda,CBR 650R,322268,2019,727,Hybrid,65.48,First,2019,Expired,Individual,168811.99,Tier 1
Gujarat,62.15,TVS,NTorq 125,395526,2020,911,Hybrid,63.99,First,2020,Expired,Individual,255820.28,Tier 3
Karnataka,52.04,Honda,Activa,338560,2021,890,Petrol,45.08,Third,2021,Not Available,Dealer,220667.06,Metro
Tamil Nadu,69.47,TVS,Ronin,213510,2021,550,Hybrid,64.33,Second,2024,Expired,Dealer,151252.37,Tier 1
Punjab,34.2,TVS,Sport,253119,2023,870,Petrol,47.29,First,2023,Expired,Dealer,192973.09,Tier 1
Rajasthan,39.01,Honda,CBR 650R,210274,2016,357,Electric,85.59,First,2016,Active,Dealer,90271.9,Tier 3
Uttar Pradesh,31.23,Bajaj,Platina 110,297531,2016,547,Electric,98.53,Second,2020,Expired,Individual,226630.16,Tier 3
Gujarat,33.86,TVS,Sport,115462,2015,575,Petrol,58.02,Third,2021,Not Available,Individual,48087.41,Tier 1
West Bengal,7.1,Yamaha,R15 V4,306486,2019,371,Hybrid,90.78,Third,2019,Active,Dealer,173896.81,Tier 3
Rajasthan,71.01,KTM,RC 390,242243,2015,403,Petrol,35.41,Third,2016,Expired,Dealer,142337.64,Tier 1
